timestamp,face_shape,width_to_length_ratio,cheekbone_to_jaw_ratio,forehead_to_cheekbone_ratio,jaw_angle
2025-03-11 14:42:50,,1.14356059206763,1.2292362272559283,0.8210186882817803,115.0316672034974
2025-03-11 14:43:00,,1.0986674006773243,1.351562853578346,0.9108992133607299,107.69477352587205
2025-03-11 14:43:08,,1.1073438929413995,1.3218395334931279,0.8648249777441068,110.48063691715105
2025-03-11 14:43:25,,1.0817739341601482,1.2152417002443259,0.8323613112966433,112.44144283169642
2025-03-11 14:56:21,,1.05406568387272,1.3232249792612771,0.8954714098860151,114.0204591186083
2025-03-11 14:56:29,,1.086376074043792,1.3683251869901565,0.8866301717129192,106.13138706177774
2025-03-11 14:56:35,,1.1107149621840455,1.3459867713851248,0.8820274687963114,110.33376691052572
2025-03-11 14:56:41,,1.1111321749583567,1.304012336383201,0.8746182913499843,114.58052827461808
2025-03-11 14:56:48,,1.099435381274198,1.3271100343240567,0.8825176902785311,108.63695574663654
2025-03-11 14:57:07,,1.0817739341601482,1.2152417002443259,0.8323613112966433,112.44144283169642
2025-03-11 14:57:31,,1.081185979112485,1.305907321680263,0.8404488688546681,114.27359167532458
2025-03-11 14:57:46,,1.0922518084881176,1.3441346969420718,0.8917030274112425,105.66427682085478
2025-03-11 14:57:57,,1.1107641979098704,1.2690671929050787,0.8378281328826377,127.71203310241377
2025-03-12 08:29:43,,1.0922518084881176,1.3441346969420718,0.8917030274112425,105.66427682085478
2025-03-12 08:42:17,SQUARE,1.1497711427522035,1.2340878599863274,0.8149264972193125,114.89875985491221
2025-03-12 08:42:33,OVAL,1.1560691461946262,1.2946019055348,0.8689676999493869,110.442754991031
2025-03-12 08:42:42,OVAL,1.1157721682949089,1.2696864459238213,0.8656554866586293,112.94662852956566
2025-03-12 08:42:56,HEART,1.086376074043792,1.3683251869901565,0.8866301717129192,106.13138706177774
2025-03-12 12:52:01,OVAL,1.1107641979098704,1.2690671929050787,0.8378281328826377,127.71203310241377
2025-03-12 12:52:12,HEART,1.086376074043792,1.3683251869901565,0.8866301717129192,106.13138706177774
